",",COLLEGE NAME, WEBSITE,ADRESS
357,"Indian Institute Of Technology (IIT), Roorkee",https://www.iitr.ac.in/,
358,"Indian School of Business Management & Administration (ISBM), Visakhapatnam",http://www.isbm.org.in/,
359,"Indira Gandhi Government College, Tezu",http://iggctezu.org/,
360,"Indira Gandhi Medical College And Research Institute, Puducherry",http://www.igmcri.com/,
361,"Indira Gandhi Polytechnic College, Mahe",https://www.igptc-mahe.org/,
362,"Indira Priyadarshini College of Nursing, Kadapa",https://www.ipcnkadapa.org/,
363,"Indo Global College Of Architecture, Abhipur",https://www.igef.net/our-colleges.php,
364,"Indo Global College Of Education, Abhipur",https://www.igef.net/our-colleges.php,
365,"Indo Global College Of Engineering, Abhipur",https://www.igef.net/our-colleges.php,
366,"Indu Tapeshwar Singh Mahila College, Bikramganj",http://www.itsmcollege.co.in/,
367,"Institute Of Advanced Studies in Education, Agartala",https://iasetripura.com/,
368,"Institute Of Co Operative Management, Bhopal",https://www.icmbpl.com/,
369,"Institute Of Dental Sciences, Jammu",https://idsjammu.co.in/,
370,"Institute Of Distance Education, Thiruvananthapuram",http://www.ideku.net/techStaffProfile.php,
371,"Institute Of Engineering & Rural Technology (IERT), Allahabad",http://www.iert.ac.in/,
372,"Institute Of Hotel Management & Catering Technology & Applied Nutrition, Dehradun",https://ihmddn.com/,
373,"Institute of Hotel Management (IHM), Gangtok",http://www.ihmgangtok.com/,
374,"Institute Of Hotel Management And Catering Technology And Applied Nutrition, Hyderabad",https://www.ihmhyd.org/,
375,"Institute Of Hotel Management Catering And Nutrition, Shimla",https://ihmshimla.org/,
376,"Institute Of Hotel Management Catering Technology & Applied Nutrition, Bathinda",http://www.ihmbti.com/,
377,"Institute Of Hotel Management Catering Technology And Applied Nutrition, Sikkim",https://www.ihmgangtok.com/,
378,"Institute Of Language Studies And Applied Social Sciences ILSASS, Anand",http://www.ilsass.edu.in/,
379,"Institute Of Management Sciences, Jammu",http://imsjammu.com/,
380,"Institute Of Nursing Sciences, Agartala",https://innscagt.blogspot.com/,
381,"Institute Of Psychiatry & Human Behaviour, Bambolim",https://iphb.goa.gov.in/,
382,"Institute Of Technology, Gopeshwar",https://itgopeshwar.ac.in/,
383,"Institute Of Technology, Mayyil",http://www.itmmba.ac.in/,
384,"Institute Of Textile Technology, Cuttack",https://www.ittchoudwar.org/,
385,"International College Of Financial Planning, New Delhi",https://www.icofp.org/,
386,"International Institute of Information Technology (IIIT), Naya Raipur",https://www.iiitnr.ac.in/,
387,"International Institute of Interior and Fashion Technology (IIIFT), Navi Mumbai",https://www.indcareer.com/maharashtra/mumbai/www.iiift.com,
388,"International Management Institute IMI, Bhubaneswar",https://imibh.edu.in/,
389,"International School Of Business & Media ISBM, Gurgaon",http://www.isbmgurgaon.com/,
390,"Ipcowala Santram College Of Fine Arts, Anand",http://www.isfinearts.edu.in/,
391,"Iqra Unani Medical Collge, Hospital & Research Centre, Jalgaon",http://www.iqramedicalcollege.in/,
392,"Islamic University Of Science And Technology School Of Technology, Pulwama",https://www.iustlive.com/,
393,"Islampur College, Islampur",https://www.islampurcollege.ac.in/,
394,"Iswar Chandra Vidyasagar College, Belonia",http://icvcollege.edu.in/,
395,"J S S College of Pharmacy, Mysore",https://jssuni.edu.in/,
396,"Jabalpur College Of Computers Communication JCCC, Jabalpur",http://jbpccc.in/,
397,"Jagadguru Shankaracharya College Of Nursing, Raipur",https://jscnraipur.com/,
398,"Jagarlamudi Kuppuswamy Choudary (JKC) College, Guntur",http://www.jkcc.ac.in/,
399,"Jagdish Sheth School of Management (formerly IFIM Business School, Bangalore)",https://www.jagsom.com/,
400,"Jaintia Eastern College, Khliehriat",http://www.jecollege.org/,
401,"Jalpaiguri Law College, Jalpaiguri",http://www.jalpaigurilawcollege.in/,
402,"Jammu College Of Physiotherapy, Jammu",http://www.jcpjammu.in/,
403,"Jasdev Singh Sandhu Degree College JSSDC, Patiala",http://www.jssgoi.com/jssdc-jasdev-singh-sandhu-degree-college/,
404,"Jawahar Bharati Degree College, Kavali",http://jawaharbharati.edu.in/jbdc2.html,
405,"Jawaharlal Nehru College, Pasighat",http://www.jncpasighat.org/,
406,"Jawaharlal Nehru Institute Of Medical Sciences JNIMS, Imphal East",http://jnims.nic.in/,
407,"Jawaharlal Nehru Rajkeeya Mahavidyalaya (JNRM), Port Blair",http://jnrm.and.nic.in/,
408,Jayaprakash Narayana College of Engineering,http://jpnce.ac.in/,
409,"JD Institute Of Fashion Technology, Mumbai",https://jdinstituteoffashiontechnology.com/,
410,"JDT Islam College of Nursing, Calicut",http://www.jdtnursing.org/,
411,"Jharkhand Vidhi Mahavidyalaya, Koderma",http://jharkhandvidhi.org/,
412,"Jindal Global Law School, Sonipat",http://www.jgls.edu.in/,
413,"JMJ College for Women, Tenali",http://jmjcollege.ac.in/,
414,"JNTU College of Engineering, Anatapur",http://www.jntucea.org/,
415,"JNTU College of Engineering, Kakinada",null,
416,"JNTUK University College of Engineering, Vizianagaram",http://jntukucev.ac.in/,
417,"Johri Professional College, Bhopal",http://johriprofessionalcollege.com/,
418,"Jyotsna Private Industrial Training Institute, Loharian",http://www.jyotsnaitihamirpur.com/,
419,"K K Institute Of Engineering And Management, Dhanbad",http://kkcemdhanbad.ac.in/,
420,"K L Bajoria College, Shillong",https://klbajoriacollege.org/,
421,"K L E Society's College of Pharmacy,Bidar",https://www.klesociety.org/,
422,"K.K.M College, Jamui",http://kkmcollege.ac.in/web/,
423,"Kabi Nazrul Mahavidyalaya, Sonamura",http://knmsonamura.ac.in/,
424,"Kakaraparti Bhavanarayana College PG Centre, Vijayawada",https://www.indcareer.com/andhra-pradesh/vijayawada/www.kbncollege.info,
425,"Kakaraparti Bhavanarayana College, Vijayawada (KBN College)",https://www.indcareer.com/andhra-pradesh/vijayawada/www.kbncollege.ac.in,
426,"Kakching Khunou College, Thoubal",https://kakchingkhunoucollege.in/,
427,"Kakinada Institute of Engineering and Technology, Kakinada",https://www.indcareer.com/andhra-pradesh/kakinada/www.kietnet.in,
428,"Kalaniketan Polytechnic College, Jabalpur",http://knpolyjbp.ac.in/,
429,"Kamakhya Pemton College, Imphal",https://www.kamakhyapemtoncollege.ac.in/,
430,"Kamaxi College of Culinary Arts (KCCA), Verna, Goa",https://www.kamaxicollege.edu.in/,
431,KANDULA SREENIVASA REDDY MEMORIAL COLLEGE OF ENGINEERING,null,
432,"Karaikal Polytechnic College, Karaikal",http://kptc.in/,
433,"Karavali College of Nursing Sciences (KCNS), Mangalore",https://www.karavalicollege.com/,
434,"Katras College, Katrasgarh",http://www.katrascollege.org/,
435,"Kelvin Institute Of Technology, Dehradun",http://www.kelvininstitute.edu.in/,
436,"Kesari College, Bagoda (Jalore)",null,
437,"KGK Academy Foundation, Surat",https://www.indcareer.com/gujarat/surat/kgkacademy.com,
438,"KGRL College, Bhimavaram",http://www.kgrlcollege.in/,
439,"Kha Manipur College, Kakching",https://www.khamanipurcollege.edu.in/,
440,"Khanchi Pvt ITI, Chakki",http://www.khanchiiti.com/,
441,"Khandelwal Vaish Girls Institute Of Technology (KVGIT), Jaipur",https://www.indcareer.com/rajasthan/jaipur/www.kvgit.in,
442,"Khelhoshe Polytechnic, Zunheboto",http://kpanagaland.org.in/,
443,"Khrawsing Christian College, Mawphlang",http://www.khrawsingchristiancollege.in/,
444,"Kisan Degree College, Sisouna, Jokihat (Araria)",null,
445,"KJ Somaiya Polytechnic - Somaiya Vidyavihar, Mumbai",https://polytechnic.somaiya.edu.in/polytechnic,
446,"Koneru Lakshmaiah College of Engineering, Guntur",https://www.indcareer.com/andhra-pradesh/guntur/www.kice.ac.in,
447,"Kongunadu College Of Nursing, Coimbatore",https://www.kongunadunursingcollege.com/,
448,"Kottam College of Engineering, kurnool",http://www.ktmk.in/,
449,"KPR and JL Siddhartha Degree College, Eluru",null,
450,"Krupajal Industrial Training Centre KITC, Bhubaneswar",http://www.krupajal.ac.in/iti.php,
451,"KSR Memorial College Of Engineering, Cuddapah",https://www.ksrmce.ac.in/,
452,"Kumbi College, Bishnupur",https://www.kumbicollege.com/,
453,"Kurnool Medical College, Kurnool",https://kurnoolmedicalcollege.in/,
454,"KV Ranga Reddy Degree College For Women, Hyderabad",http://kvrrdcw.ac.in/,
455,"KVM Institute Of Paramedical Sciences, Alappuzha",http://kvminstituteofparamedicalsciences.in/,
456,"Lady Reading Health School, Delhi",https://www.ladyreadinghealthschool.com/,
457,Laki Reddy Bali Reddy College of Engineering,https://www.lbrce.ac.in/,
458,"Lakshmi College Of Science Technology & Management, Thrissur",http://lakshmicollege.com/,
459,"Lal Bahadur Shastri PG College, Jaipur",https://www.lbscollege.com/,
460,"Langta Baba College, Mirjaganj",https://langtababacollege.in/,
461,"Law College, Dhanbad",https://www.lawcollegedhanbad.ac.in/,
462,"Laxminath College, Bangawn",null,
463,"LBS Centre For Science & Technology, Thiruvananthapuram",https://lbscentre.in/,
464,"Liberal College, Luwangsangbam",http://www.theliberalcollege.org/,
465,"Lilong Haoreibi College, Lilong",http://www.lhcollege.in/,
466,"LMS Law College, Imphal",http://lmslawcollege.com/,
467,"Lunglei Government College, Lunglei",http://lgc.ac.in/,
468,"M G College, Raneshwar",https://www.mgrcollege.org/,
469,"Maa Santoshi Industrial Training Institute, Bilaspur",http://itimaasantoshi.org/,
470,"Maan College of Paramedical Sciences, Bhopal",null,
471,"Madan Mohan Mahalviya Engineering College, Gorakhpur",http://www.mmmut.ac.in/,
472,"Madan Mohan Malviya PG College, Bhatpar Rani",http://mmmpgc.ac.in/,
473,Madanapalle Institute of Technology & Science,https://www.mits.ac.in/,
474,"Mahalaxmi Jagdamba Arts Commerce & Science College, Nagpur - M.J.College",https://www.mjcolleges.com/index.html,
475,"Mahant Bachittar Singh College Of Engineering & Technology MBSCET, Jammu",http://www.mbscet.in/,
476,"Maharishi Markandeshwar College Of Dental Sciences And Research MMCDSR, Ambala",https://www.mmumullana.org/institute/dental-sciences/,
477,"Maharshi Valmiki College Of Education, New Delhi",https://www.mvce.ac.in/,
478,"Mahati College of Pharmacy, Madanaplle",http://mahathicollegeofpharmacy.in/,
479,"Mahatma Gandhi Arts and Science College, Chendayad",null,
480,"Mahatma Gandhi College, Guntur",http://www.mahatmagandhicollege.com/,
481,"Mahatma Gandhi Degree College, Guntur",http://www.mahatmagandhicollege.com/,
482,"Mahatma Gandhi Dental College & Hospital, Jaipur",https://mgumst.org/dental-college/,
483,"Mahatma Gandhi Government College (MGGC), Mayabunder",http://www.and.nic.in/,
484,"Mahe Co Operative College Of Teacher Education, Mahe",http://www.mahecooperativecollege.com/mccte/,
485,"Malik Sandal Institute of Art & Architecture, Bijapur",https://msiaa.secab.org/,
486,"Malwa College Of Nursing, Kotkapura",https://malwa.org/malwacollegeofnursing.php,
487,"Manda Institute Of Technology MIT, Bikaner",http://mitbikaner.ac.in/,
488,"Mandar College, Mandar",http://www.mandarcollegemandar.org/,
489,Manipur Institute of Technology (MIT Imphal),https://mitimphal.in/,
490,"Maris Stella College, Vijayawada",http://www.marisstella.ac.in/,
491,"Maryland Institute Of Technology & Management MITM, Jamshedpur",http://www.mditm.com/,
492,"Master Institute of Management Science And Technology, Nellore",http://masterkavali.com/,
493,"Mata Balasundry Pvt ITI, Nahan",http://mbsitinahan.org/,
494,"Mata Parvati Industrial Training Institute, Nurpur",https://www.mataparvatiiti.org/,
495,"Maulana Azad College Of Technology, Bhopal",http://www.manit.ac.in/,
496,"Maulana Azad Institute Of Dental Sciences, New Delhi",http://maids.ac.in/,
497,"Mawlai Presbyterian College, Shillong",http://mawlaipresbyteriancollege.org/,
498,"Mawsynram Border Area College, Mawsynram",http://www.mawsynramborderareacollege.com/,
499,"Mayai Lambi College, Imphal",http://www.mayailambicollege.in/,
500,"MBTS Govt Polytechnic, GUNTUR",null,
