",",COLLEGE NAME, WEBSITE,ADRESS
82,"Biju Patnaik Institute Of Information Technology And Management Studies BIITM, Bhubaneswar",https://www.biitm.ac.in/,
83,"Bir Bikram Memorial College, Agartala",http://www.bbmc.nic.in/,
84,"Birla Institute Of Technology BIT, Deoghar",https://www.bitmesra.ac.in/,
85,"Birla Institute Of Technology BIT, Jaipur",https://www.bitmesra.ac.in/BIT_Mesra?cid=5&pid=H,
86,"Birla Vishvakarma Mahavidyalaya BVM, Anand",https://www.bvmengineering.ac.in/,
87,"Birpara College, Birpara",https://birparacollege.ac.in/,
88,"Bissau College, Shillong",http://www.bissaucollege.co.in/,
89,"Bitoli Devi Mahavidyalaya, Shahjahanpur",http://vitolidevimahavidhyalaya.in/index.php,
90,"BITS Pilani, Goa",https://www.bits-pilani.ac.in/Goa/,
91,"BMD College of Education, Rewari",https://bmdeducation.org/,
92,"BNC College, Dhamdaha",null,
93,"BNM Homoeopathic Medical College Hospital, Saharsa",http://www.bnmhmchsaharsha.com/,
94,"Bright Institute Of Technology & Management BITM, Bokaro",http://brightedu.webs.com/,
95,"BSK College, Barharwa",http://www.bskcollegebarharwa.com/,
96,"Buddha Bhanu Saraswati College, Shillong",http://bbscollege.inshillong.com/,
97,"C M Nursing Institute, Bhilai",null,
98,"Capital College Of Higher Education, Kohima",http://www.capitalcollegekohima.org/,
99,"Care College of Education, Gwalior",null,
100,"CCS College, Rajpur",http://www.ccscollege.in/,
101,"Central Institute of Higher Tibetan Studies (CIHTS),Varanasi",https://www.cihts.ac.in/webpage/index.aspx,
102,"Central Institute Of Himalayan Culture Studies, Bomdila",http://www.cihcs.edu.in/,
103,"Central Island Agricultural Research Institute ICAR, Port Blair",https://ciari.icar.gov.in/,
104,"Centre For Continuing Education, Vinayaka Missions Sikkim University, Gangtok",http://www.vmsuniversity.in/about-ccer,
105,"Centre For Studies & Research On Life And Works Of Sardar Vallabhbhai Patel CERLIP, Vallabh Vidyanagar",http://www.cerlip.res.in/,
106,"CG College Of Nursing, Raipur",http://www.cgnursing.com/,
